Title,Url,Description,Publish At
Salt Security + MuleSoft – Supercharge Your API Security Strategy,https://salt.security/blog/salt-security-mulesoft-supercharge-your-api-security-strategy,"Salt Security is combining efforts with MuleSoft to bring best-of-breed API security to the market leader in API management and integration, the MuleSoft Anypoint Platform.","Thu, 01 Apr 2021 17:00:00 GMT"
Understanding the Security Impacts of the iPhone Call Recording App Vulnerability,https://salt.security/blog/understanding-the-security-impacts-of-the-iphone-call-recording-app,"Our discussion focuses on steps you can take for better API security, and we also include some interesting mobile security and cloud security aspects.","Thu, 18 Mar 2021 21:57:00 GMT"
"Stopping API Attacks: Columbo, Correlation, and Context",https://salt.security/blog/stopping-api-attacks-columbo-correlation-and-context,"Columbo was a master of context. The lieutenant was famous for his catchphrase “Just one more thing,” heard countless times by suspects as he chipped away at a case, gathering small, obscure pieces of the puzzle and putting them together to form the bigger picture and ultimately solve the case.","Tue, 09 Mar 2021 02:36:00 GMT"
API10:2019 Insufficient Logging & Monitoring,https://salt.security/blog/api10-2019-insufficient-logging-monitoring,"Insufficient logging and monitoring combined with missing or ineffective integration with incident response, allows attackers to perform reconnaissance, exploit or abuse APIs, compromise systems, maintain persistence, advance attacks, and move laterally across environments without being detected.","Fri, 05 Mar 2021 18:11:00 GMT"
API9:2019 Improper Assets Management,https://salt.security/blog/api9-2019-improper-assets-management,"Maintaining a complete, up to date API inventory with accurate documentation is critical to understanding potential exposure and risk.","Thu, 04 Mar 2021 04:07:00 GMT"
"Taking Home the Gold! And the Silver, and another Silver …",https://salt.security/blog/taking-home-the-gold-and-the-silver-and-another-silver,We here at Salt are excited to share that our company and industry-first API security platform have earned us three major kudos.,"Mon, 01 Mar 2021 16:00:00 GMT"
API8:2019 Injection,https://salt.security/blog/api8-2019-injection,"Injection flaws are very common in the web application space, and they carry over to web APIs.","Fri, 26 Feb 2021 14:10:00 GMT"
API7:2019 Security Misconfiguration,https://salt.security/blog/api7-2019-security-misconfiguration,This issue is a catch-all for a wide range of security misconfigurations that often negatively impact API security as a whole and introduce vulnerabilities inadvertently.,"Thu, 25 Feb 2021 20:22:00 GMT"
API6:2019 Mass Assignment,https://salt.security/blog/api6-2019-mass-assignment,API security solutions must be able to identify anomalous API activity where attackers send manipulated API requests with unauthorized parameters.,"Fri, 19 Feb 2021 22:00:00 GMT"
API5:2019 Broken Function Level Authorization,https://salt.security/blog/api5-2019-broken-function-level-authorization,API security solutions must be able to identify and prevent attackers or unauthorized users from accessing administrative level capabilities or unauthorized functionality.,"Thu, 18 Feb 2021 22:00:00 GMT"
Lessons from the FinTech Trenches Securing APIs at Finastra,https://salt.security/blog/lessons-from-the-fintech-trenches-securing-apis-at-finastra,"On a recent webinar with Security Boulevard, we were fortunate to host Nir Valtman, Finastra head of product and data security, to share insights into his API security journey. You can view the entire session on the Salt YouTube channel, and here are some of the highlights from the discussion.","Tue, 16 Feb 2021 16:00:00 GMT"
API4:2019 Lack of Resources & Rate Limiting,https://salt.security/blog/api4-2019-lack-of-resources-rate-limiting,"API requests consume resources such as network, CPU, memory, and storage. The amount of resources required to satisfy a request greatly depends on the input from the user and the business logic of the endpoint.","Fri, 12 Feb 2021 22:00:00 GMT"
API3:2019 Excessive Data Exposure,https://salt.security/blog/api3-2019-excessive-data-exposure,"Exploitation of Excessive Data Exposure is simple, and is usually performed by sniffing the traffic to analyze the API responses, looking for sensitive data exposure that should not be returned to the user.","Wed, 10 Feb 2021 22:00:00 GMT"
Top Findings from Industry’s First State of API Security Report,https://salt.security/blog/top-findings-from-industrys-first-state-of-api-security-report,Learn what pain points we uncovered as we set out to understand the state of API security – a critical window into broader enterprise security trends given that APIs underlie every revenue-generating application today.,"Wed, 03 Feb 2021 15:30:00 GMT"
API2:2019 Broken User Authentication,https://salt.security/blog/api2-2019-broken-user-authentication,Authentication in APIs is a complex and confusing topic. Software and security engineers might have misconceptions about what the boundaries of authentication are and how to correctly implement it.,"Tue, 02 Feb 2021 22:29:00 GMT"
OWASP API Security Top 10 Explained,https://salt.security/blog/owasp-api-security-top-10-explained,"In this post and subsequent additions to the series, we dig into each of the Open Web Application Security Project (OWASP) API Security Top 10 in detail.","Wed, 27 Jan 2021 22:00:00 GMT"
Unpacking the Parler Data Breach,https://salt.security/blog/unpacking-the-parler-data-breach,"While the shutdown of Parler remains politically charged, the event offers some valuable technical lessons worth reviewing, many of which tie directly into API security and how best to protect sensitive data.","Thu, 21 Jan 2021 11:52:00 GMT"
GET ‘https://salt.security/ api/v1/ helloworld?id=michaelisbitski’,https://salt.security/blog/get-https-salt-security-api-v1-helloworld-id-michaelisbitski,"Yes, that’s a vain attempt at an API joke and not your browser having issues. I wanted to draft this post to shed some light...","Fri, 08 Jan 2021 08:20:00 GMT"
Three API Security Challenges Every Security Professional Should Be Prepared For,https://salt.security/blog/three-api-security-challenges-every-security-professional-should-be-prepared-for,Changes to APIs create new challenges for security teams. See what should be top of mind for any security professional tasked with protecting APIs.,"Wed, 23 Dec 2020 16:09:00 GMT"
APIs Have Changed – and They’re Changing the Security Landscape,https://salt.security/blog/apis-have-changed-and-theyre-changing-the-security-landscape,"The reality is, APIs today are very different from the web APIs of the early 2000s, and these changes impact the way we need to think about the API security landscape.","Fri, 18 Dec 2020 15:27:00 GMT"
The Power of Having Sequoia in your Court,https://salt.security/blog/series-b-funding,"We set out to empower customer success and innovation by securing every API. On the heels of our Series A funding, we’ve raised a $30 million B round, led by Sequoia Capital, with Carl Eschenbach joining our board.","Tue, 08 Dec 2020 02:30:00 GMT"
Securing APIs – It’s Different Than Securing Apps,https://salt.security/blog/securing-apis-its-different-than-securing-apps,I recently tuned into a CISO panel discussion and one of the panelists said something that struck me – “Application security today is less about the applications and more about the APIs.”,"Tue, 24 Nov 2020 12:00:00 GMT"
Is OAS Enough For API Security?,https://salt.security/blog/is-oas-enough-for-api-security,The OpenAPI Specification (OAS) is a way to describe and create API documentation. Learn some of the ways dev and security teams use the OAS and why it falls short when it comes to securing your APIs.,"Thu, 19 Nov 2020 12:00:00 GMT"
Can API Security Be Wholly Solved in Development?,https://salt.security/blog/can-api-security-be-wholly-solved-in-development,"Organizations are working hard to “shift left” with security and improve the security of code. Learn why in APIs, improving security during build and initial deployment cannot provide the full answer.","Fri, 13 Nov 2020 12:00:00 GMT"
ITProTV Technado Podcast With Roey Eliyahu,https://salt.security/blog/itprotv-technado-podcast-with-roey-eliyahu,Salt Security co-founder and CEO Roey Eliyahu joined the Technado Podcast this week to discuss arguably one of the most vulnerable things security teams often overlook: APIs.,"Fri, 30 Oct 2020 12:00:00 GMT"
What Are JWTs And Are They Vulnerable To Attacks?,https://salt.security/blog/what-are-jwts-and-are-they-vulnerable-to-attacks,"In episode 5 of API Security With A Pinch Of Salt, we talk about JSON Web Tokens (JWTs), an open standard (RFC 7519) that defines a compact and self-contained way for securely transmitting info between parties as a JSON object.","Fri, 28 Aug 2020 11:00:00 GMT"
What Can Attackers Do With API Vulnerabilities?,https://salt.security/blog/what-can-attackers-do-with-api-vulnerabilities,Episode number 4 of API Security With A Pinch Of Salt is here. In this episode Chris and Ran talk about what attackers are going after when they target APIs and what they can do if they find and successfully exploit a vulnerability.,"Tue, 04 Aug 2020 11:00:00 GMT"
"WAFs, What Are They Good For?",https://salt.security/blog/wafs-what-are-they-good-for,"Get ready for episode number 3 of our video series called API Security With A Pinch Of Salt. In this episode, Adam and Chris answer the question - WAFs, what are they good for?","Thu, 16 Jul 2020 11:00:00 GMT"
The Importance Of API Documentation,https://salt.security/blog/the-importance-of-api-documentation,"It’s time for episode number 2 of our video series called API Security With A Pinch Of Salt. In this episode, Adam, Chris and Ran dig into the topic of the importance of API documentation.","Thu, 25 Jun 2020 11:00:00 GMT"
When Gartner Realizes How “Cool” You Are,https://salt.security/blog/when-gartner-realizes-how-cool-you-are,"You always think the tech you’re working on is cool, but when Gartner names you a Cool Vendor, you know you’ve delivered a powerful solution.","Mon, 18 May 2020 11:00:00 GMT"
Using API Gateways For Security,https://salt.security/blog/using-api-gateways-for-security,"Today we kick off a video series called API Security With A Pinch Of Salt where we dig deep into API security. In this first episode, Adam, Chris and Ran tackle the topic of using API Gateways for Security.","Wed, 06 May 2020 11:00:00 GMT"
Protecting Digital Platforms – What I’m Hearing From CISOs,https://salt.security/blog/protecting-digital-platforms-what-im-hearing-from-cisos,"In light of accelerated transformation, digital platforms are now a more critical part of our lives and I’m thankful for the companies that continue to provide these services. Had we seen a similar situation 15 or 20 years back, how would we have managed?","Tue, 07 Apr 2020 11:00:00 GMT"
Salt Security COVID-19 Update,https://salt.security/blog/salt-security-covid-19-update,"Whether you’re already a Salt Security customer or considering Salt Security to help you protect your critical applications and services from API attacks, we are committed to API security and have comprehensive plans in place to ensure the Platform remains up and running to support our customers.","Tue, 17 Mar 2020 12:00:00 GMT"
What Sutton’s Law Means For Open Banking,https://salt.security/blog/what-suttons-law-means-for-open-banking,Bank robber Willie Sutton (1901-1980) did reasonably well making off with an estimated $2 million in illegal earnings throughout his career. He was a rash and resourceful robber who used disguises and trickery to achieve his ends.,"Wed, 12 Feb 2020 12:00:00 GMT"
Salt Security API Protection Explained,https://salt.security/blog/salt-security-api-protection-explained,"Are you wondering what Salt Security does, what challenges we solve for, and how we do it? Check out this explainer video that answer all of those questions in just over one minute.","Tue, 11 Feb 2020 12:00:00 GMT"
Why I Joined Salt Security,https://salt.security/blog/why-i-joined-salt-security,"Imagine you’re on ICQ one night, and you see this dude jumping into your chat room. Before long the two of you start to argue like a couple of schoolgirls and the “dude” says that he’s gonna burn you, so you challenge him to bring it on!","Thu, 31 Oct 2019 12:00:00 GMT"
What Is The OWASP API Security Top 10,https://salt.security/blog/what-is-the-owasp-api-security-top-10,The Open Web Application Security Project has been around since 2001 and is best known for the OWASP Web Application Security Top 10 which has set the standard for how orgs have approached security to protect traditional web applications.,"Tue, 08 Oct 2019 11:00:00 GMT"
How Martial Arts Can Help You Eliminate API Vulnerabilities,https://salt.security/blog/how-martial-arts-can-help-you-eliminate-api-vulnerabilities,"In college, a good friend of mine got deeply involved in the martial art Aikido and instead of directly attacking, the defender would wait for a move from their opponent, like a lunge, and harness that momentum to take control.","Wed, 21 Aug 2019 11:00:00 GMT"
Announcing Salt Security Integration With Kong API Gateway,https://salt.security/blog/announcing-salt-security-integration-with-kong-api-gateway,"At Salt Security one of our philosophies is to provide solutions that help simplify processes, and save time, rather than introduce additional complexities. This is especially important when it comes to security.","Mon, 05 Aug 2019 11:00:00 GMT"
Testing and Hacking APIs + OWASP TLV Sessions,https://salt.security/blog/testing-and-hacking-apis-owasp-tlv-sessions,If you didn’t make it to OWASP Global AppSec Tel Aviv last month I wanted to share that the team recently published videos from the event...…you can check out the entire lineup of 44 videos in the playlist here.,"Tue, 23 Jul 2019 11:00:00 GMT"
OWASP Global AppSec Tel Aviv Recap,https://salt.security/blog/owasp-global-appsec-tel-aviv-recap,"OWASP Global AppSec 2019 happened recently in Tel Aviv and I was lucky enough to attend, present a few sessions, meet some new people and have lots of great conversations.","Wed, 26 Jun 2019 11:00:00 GMT"
How to Control Top API Security Risks,https://salt.security/blog/how-to-control-top-api-security-risks,"Whether you realize it or not APIs are everywhere around us and they exchange sensitive data constantly, making them a rich target for attackers, which explains why we’ve seen a significant increase in attacks targeting APIs in recent years.","Thu, 04 Apr 2019 11:00:00 GMT"
How Modern Web Applications Changed the Way Enterprises Should Handle Security,https://salt.security/blog/how-modern-web-applications-changed-the-way-enterprises-should-handle-security,The non-stop news of security breaches in recent years underscores a growing realization that organizations need to fundamentally rethink the way they protect their applications and data.,"Thu, 21 Mar 2019 12:00:00 GMT"
Come See Us At RSAC 2019,https://salt.security/blog/come-see-us-at-rsac-2019,RSA Conference 2019 is just a week away and we couldn’t be more excited. 2019 has been a big year for us already and we continue the momentum with RSAC 2019.,"Mon, 25 Feb 2019 12:00:00 GMT"
We’re Committed To Security and Have SOC 2 To Prove It,https://salt.security/blog/were-committed-to-security-and-have-soc-2-to-prove-it,Confidence is important when you decide to engage with a vendor. You want to know that vendor is able to deliver the service and you want to have confidence that your data is secure in their hands (or cloud as the case may be).,"Mon, 28 Jan 2019 12:00:00 GMT"
What Moving To the Bay Area Taught Me About Loving My Pentesting Tools,https://salt.security/blog/what-moving-to-the-bay-area-taught-me-about-loving-my-pentesting-tools,"Most app security engineers I’ve met have settled down and found their special one. They stick with that one, stay committed, and never have a second thought about another. I’m talking about Burp and Fiddler.","Thu, 06 Dec 2018 12:00:00 GMT"
Lessons Learned – USPS API Vulnerability and 60 Million Exposed Users,https://salt.security/blog/lessons-learned-usps-api-vulnerability-and-60-million-exposed-users,"You’ve probably seen the news about the USPS vulnerability where an attacker with simple access to usps.com, an understanding of the API logic, and no special tools could easily manipulate that logic to get a dump of data.","Wed, 28 Nov 2018 12:00:00 GMT"
API Protection – What You Need To Know In The New API Economy,https://salt.security/blog/api-protection-what-you-need-to-know-in-the-new-api-economy,"Technology is constantly evolving. We’ve seen this in recent years in the way applications are developed (e.g. CI/CD), delivered (e.g. microservices and cloud), and consumed (e.g. more SaaS and mobile devices).","Wed, 14 Nov 2018 12:00:00 GMT"
The State of CTV Advertising: New Research with Digiday,https://info.innovid.com/blog/the-state-of-ctv-advertising-new-research-with-digiday,"When the pandemic confined people to their homes, streaming became a main source of information, entertainment, and escape. The freedom to view content on any device at any time became even more of a necessity for consumers and greatly accelerated viewership from linear to connected TV (CTV). This trend, along with many others brought about by the pandemic, will be a lasting one; eMarketer predicts that by the end of 2024, fewer than half of U.S. households will subscribe to linear TV.","Thu, 27 May 2021 16:24:57 GMT"
Life as a Product Manager at Innovid,https://info.innovid.com/blog/life-as-a-product-manager-at-innovid,"Being a Product Manager at Innovid is probably the closest you’ll get to being an entrepreneur without actually being one. The role is equally challenging and rewarding; it involves setting the product vision, defining metrics and goals, reaching alignment across team members and stakeholders, and executing to the highest standards. You’ll be running the show, creating your own processes to get things done.","Thu, 20 May 2021 23:12:14 GMT"
A Plea to Eliminate Manual Tag Wrapping,https://info.innovid.com/blog/a-plea-to-eliminate-manual-tag-wrapping,"Tag wrapping is a pain for everyone involved. Not only does the process of manually wrapping tags greatly slow down the general ad serving process, but it can also lead to delays in updates for marketers who are working with multiple third-party vendors and even delays in the campaign launch. Consider this a plea to set aside the error-prone process of manually wrapping tags and to embrace the accuracy of automation.","Tue, 18 May 2021 18:07:02 GMT"
OTT Composer Changed the Game for Publishers,https://info.innovid.com/blog/ott-composer-changed-the-game-for-publishers,"Having been focused on advanced video solutions at Innovid for the past few years, I’ve witnessed life before and after Innovid’s OTT Composer, a creative tool that allows brands and publishers to build their own interactive CTV ad experiences. In the “before times”, interactive CTV was still thought of as an emerging capability, and publishers were focusing their time on just making sure ads could go live correctly. Unlike desktop and mobile, CTV devices and apps lacked video player and tag type standardization, so every setup was unique and very, very manual. Fast forward to today: not only is CTV an integral part of any marketing mix — up 60% year over year in impressions — but it’s also seeing some of the most innovative creative developments in the industry.","Thu, 13 May 2021 20:02:33 GMT"
Auto Advertising Gains Horsepower: Video Insights from Innovid iQ,https://info.innovid.com/blog/auto-advertising-gains-horsepower-video-insights-from-innovid-iq,"In April 2021, total video impressions grew 81% year over year. Video impressions served via connected TV (CTV), in particular, grew 107% year over year last month and has accounted for the largest share of video impressions for 2021 to date. Perhaps no industry better encapsulated this CTV trend than auto, which saw a massive spike in CTV video impressions last month. Let’s dive into the highlights from our latest Innovid iQ release:","Wed, 12 May 2021 16:54:07 GMT"
CTV Advertising Takeaways from TVOT Live! 2021,https://info.innovid.com/blog/ctv-advertising-takeaways-from-tvot-live-2021,"Last week, Innovid showed up in full force at TVOT Live! 2021 with appearances from our Co-Founder and CEO, Zvika Netter; our Co-Founder and CTO, Tal Chalozin; and our GM Measurement and Analytics, Jessica Hogue. While much was discussed among the 100+ industry leaders driving innovation in TV, here are some of our key takeaways from the week:","Thu, 06 May 2021 16:00:00 GMT"
"Employee Spotlight: Sabrina Menzies, Director of Client Services, APAC",https://info.innovid.com/blog/employee-spotlight-sabrina-menzies-director-of-client-services-apac,"Our team at Innovid is spread across the Americas, EMEA, and APAC. We are so much more than a bunch of separate offices. We are truly a global team. When opportunities arise for our talented and self-driven employees to venture to new regions across the globe, we do everything we can to help make that happen. Case in point: Sabrina Menzies joined Innovid in Chicago six years ago, and she is now one of our valued team members in Sydney. Here’s what this Hans Zimmer superfan had to say about her experiences thus far:","Thu, 29 Apr 2021 16:00:00 GMT"
Fostering Inclusivity in the Workplace: A Conversation with Innovid and Friends in the DEI Space,https://info.innovid.com/blog/fostering-inclusivity-in-the-workplace-a-conversation-with-innovid-and-friends-in-the-dei-space,"Inclusivity may mean something different in different cultures, to different people, in different places. At Innovid, inclusivity means that each and every one of our employees feels respected, heard, and valued, regardless of their gender, race, sexual orientation, or position in the company. In an effort to foster our culture of inclusion, our employees have created DEI committees, each dedicated to implementing a variety of initiatives from building an internal mentorship program to having each culture and tentpole acknowledged and celebrated throughout the org. Most recently, we were honored to host a virtual panel of industry leaders, who make it their mission to create a more inclusive workplace (and world) for all:","Thu, 22 Apr 2021 20:38:01 GMT"
Innovid Expands Ad Server Integration with Moat by Oracle,https://info.innovid.com/blog/innovid-expands-ad-server-integration-with-moat-by-oracle,"Viewability and verification are essential when activating any omni-channel campaign, whether it be video or display. But historically the process of ensuring brand safety has come at the cost of speed, hampered by manual tag wrapping workflows. In mid-2016, Innovid developed a server-to-server integration with Moat Analytics, circumventing the need for any manual excel-based work on video placements. Today, Innovid is excited to announce the extension of this integration to support display. In addition to automating the wrapping process, this enhancement also uniquely includes support for viewability of site-served display placements.","Tue, 20 Apr 2021 18:11:48 GMT"
The Awakening of Telecom: Video Insights from Innovid iQ,https://info.innovid.com/blog/the-awakening-of-telecom-video-insights-from-innovid-iq,"The growth story continues: New Innovid iQ data from March 2021 shows that global video impressions increased 45% year over year, with TV and mobile both seeing substantial growth (81% and 28% year over year, respectively). Verticals that topped the video advertising list in February — automotive, CPG, and retail — continued to perform well last month, though it was telecom that really took off. Take a look at some recent Innovid iQ findings:","Thu, 15 Apr 2021 16:25:41 GMT"
